"a453d2a","jc3943","Tue, 6 Jun 2023 07:06:12 -0700","pulled 5 min timer",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"34f034f","jc3943","Mon, 5 Jun 2023 19:56:36 -0700","removed 5 min pause and added fab discovery only",	 2 files changed, 48 insertions(+), 3 deletions(-)	
"afd5f14","jc3943","Mon, 5 Jun 2023 12:10:23 -0700","added lab guide",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"1e00882","jc3943","Mon, 5 Jun 2023 08:57:12 -0700","update dockerfile",	 2 files changed, 56 insertions(+), 50 deletions(-)	
"2561838","jc3943","Mon, 5 Jun 2023 07:55:27 -0700","added some lab docs",	 5 files changed, 13 insertions(+)	
"cc2cc74","jc3943","Sun, 4 Jun 2023 20:38:07 -0700","resync",	 2 files changed, 0 insertions(+), 0 deletions(-)	
"c85ea57","jc3943","Sun, 4 Jun 2023 14:38:36 -0700","added pod var pods 17 and 18",	 27 files changed, 2940 insertions(+)	
"c0fd322","jc3943","Sat, 3 Jun 2023 10:59:39 -0700","updated nso vars",	 23 files changed, 16 insertions(+), 16 deletions(-)	
"f9ec118","jc3943","Fri, 2 Jun 2023 12:18:54 -0700","repo clean-up",	 438 files changed, 178371 deletions(-)	
"647c259","jc3943","Fri, 2 Jun 2023 12:07:57 -0700","resync",	 2 files changed, 0 insertions(+), 0 deletions(-)	
"d3e615b","jc3943","Thu, 1 Jun 2023 16:01:27 -0700","removed unnecessary vars from source",	 92 files changed, 5552 deletions(-)	
"c66f0f2","jc3943","Thu, 1 Jun 2023 07:01:31 -0700","added ICO/Export_Workflow_Deployubuntucloudovaimage.json",	 2 files changed, 1 insertion(+)	
"d6488b8","jc3943","Tue, 30 May 2023 17:44:24 -0400","added exported bookmarks from jumpbox",	 1 file changed, 20 insertions(+)	
"2e2a5e7","jc3943","Tue, 30 May 2023 17:31:18 -0400","updated fmc terraform to remove deploy",	 1 file changed, 5 insertions(+), 5 deletions(-)	
"dd95408","jc3943","Tue, 30 May 2023 15:52:31 -0400","updated fmc access policy plan",	 1 file changed, 10 insertions(+), 10 deletions(-)	
"54ab1db","jc3943","Tue, 30 May 2023 15:31:24 -0400","added fmcAccessPols.tf",	 2 files changed, 54 insertions(+)	
